DonorClientNm,RecipientClientNm,AmountPaid,
"Mineralogy Pty Ltd","NAT-WA","201000.0000",
"Beneficiaries of NFEF","National Party of Australia - N.S.W.","60505.0000",
"Clubs Victoria Inc","National Party of Australia - Victoria","60000.0000",
"Australian Hotels Association (N.S.W.)","National Party of NSW","44000.0000",
"Clubs NSW","National Party of Australia","34800.0000",
"Manildra Group","NAT-NSW","21567.0000",
"Philip Morris Limited","National Party of Australia","20450.0000",
"Argos Investments Pty Limited","NAT-NSW","20000.0000",
"Beneficiaries of NBF","National Party of Australia - N.S.W.","19084.0000",
"National Party of Australia - Vic President's Trust Account for","National Party of Australia - Victoria","17850.0000",
"Manildra Group","NAT-FED","13727.0000",
"Aeropelican Air Service Pty Ltd","National Party of Australia - N.S.W.","13200.0000",
"Livestock & Bulk Carriers Association","The Nationals for Regional NSW","13200.0000",
"Tabcorp Holdings Limited","National Party of Australia - N.S.W.","13200.0000",
"British American Tobacco Australia Limited","NAT-NSW","13000.0000",
"Philip Morris Limited","National Party of Australia - N.S.W.","11050.0000",
"CHALMERS LEGAL STUDIO PTY LTD","National Party of Australia","11000.0000",
"Leighton Holdings Limited","The National Federal Secretariat","11000.0000",
"Macquarie Group Limited","NATS-FED","11000.0000",
"Sultan & Partners Pty Limited","NAT-NSW","10000.0000",
"Wesfarmers Limited","National Party of Australia","10000.0000",
"Wesfarmers Limited","National Party of Australia (WA) Inc","10000.0000",
"Woolworths Limited","National Party of Australia (NSW Branch)","9250.0000",
"NATIONAL ROADS & MOTORISTS' ASSOCIATION LIMITED","National Party of Australia - N.S.W.","7110.0000",
"Philip Morris Limited","National Party of Australia (WA) Inc","6600.0000",
"Australian Hotels Association (N.S.W.)","National Party of Australia","6000.0000",
"Independent Retailers of NSW and the ACT Inc","NAT-NSW","6000.0000",
"Westpac Banking Corporation","National Party of Australia","5699.0000",
"Macquarie Telecom Pty Ltd","National Party of Australia - VIC / NAT-VIC","5500.0000",
"SingTel Optus Pty Ltd","National Party of Australia (NAT-FED)","5500.0000",
"Philip Morris Limited","National Party of Australia - Victoria","5000.0000",
"NATIONAL ROADS & MOTORISTS' ASSOCIATION LIMITED","National Party of Australia","4950.0000",
"Santos Ltd","NAT-FED","4950.0000",
"NSW Taxi Council","NSW Nationals","4558.0000",
"Advocacy Services Australia Limited","The Nationals","4545.0000",
"Caltex Australia Limited","National Party of Australia - NSW","4527.0000",
"Caltex Australia Limited","National Party of Australia","4500.0000",
"Santos Ltd","NAT-NSW","3630.0000",
"Macquarie Telecom Pty Ltd","National Party of Australia - NSW / NAT-NSW","3300.0000",
"Parker & Partners","National Party of Australia","3300.0000",
"Crown Limited","National Party of Australia (WA) Inc","3220.0000",
"Government Relations Australia Advisory Pty Ltd","National Party of Australia - NSW","2500.0000",
"ERM Power Limited","National Party of Australia - N.S.W.","2200.0000",
"British American Tobacco Australia Limited","NAT-FED","1650.0000",
"Tabcorp Holdings Limited","National Party of Australia - Victoria","1320.0000",
"Transurban Group Limited","National Party of Australia - N.S.W.","750.0000",
"National Australia Bank","National Party of Australia","700.0000",
"Plenary Group Pty Ltd","National Party of Australia","550.0000",
"Pottinger Co Pty Limited","National Party of Australia - N.S.W.","550.0000",
"Leighton Holdings Limited","National Party of Australia - NSW","500.0000",
"KPMG","National Party of Australia","375.0000",
"Insurance Australia Group Limited","National Party of Australia NSW Leaders Forum","330.0000",
"Macquarie Group Limited","NATS-NSW","250.0000",
"SingTel Optus Pty Ltd","National Party of Australia - NSW (NAT-NSW)","250.0000",
"Allianz Australia Ltd","National Party of Australia - N.S.W.","30.0000",
